# data	Vazio	Ponta	Cheias
2023-02-01	107	68	158
2023-02-02	111	70	166
2023-02-03	117	72	171
2023-02-04	120	75	176
2023-02-05	124	78	180
2023-02-06	128	81	187
2023-02-07	133	83	192
2023-02-08	137	88	203
2023-02-09	143	91	214
2023-02-10	149	97	224
2023-02-11	157	101	233
2023-02-12	168	104	239
2023-02-13	172	106	244
2023-02-14	175	107	248
2023-02-15	178	109	253
2023-02-16	183	113	261
2023-02-17	187	116	267
2023-02-18	190	117	269
2023-02-19	195	121	273
2023-02-20	199	122	277
2023-02-21	201	124	281
2023-02-22	203	124	284
2023-02-23	205	126	287
2023-02-24	208	127	289
2023-02-25	208	127	289
2023-02-26	217	132	296
2023-02-27	220	134	302
2023-02-28	224	136	305
2023-03-01	226	137	307
2023-03-02	229	138	310
2023-03-03	233	140	313
2023-03-04	235	141	316
2023-03-05	237	142	319
2023-03-06	241	144	323
2023-03-07	245	146	327
2023-03-08	249	148	331
2023-03-09	252	150	337
2023-03-10	257	152	340
2023-03-11	260	154	343
2023-03-12	262	155	345
2023-03-13	265	156	347
2023-03-14	268	157	349
2023-03-15	270	159	351
2023-03-16	274	160	355
2023-03-17	276	161	357
2023-03-18	280	162	360
2023-03-19	284	163	362
2023-03-20	286	165	369
2023-03-21	288	167	372
2023-03-22	292	168	376
2023-03-23	294	169	380
2023-03-24	297	170	383
2023-03-25	299	171	385
2023-03-26	302	172	388
2023-03-27	303	174	391
2023-03-28	306	174	394
2023-03-29	309	176	396
2023-03-30	312	178	398
2023-03-31	315	179	401
2023-04-01	317	181	403
2023-04-02	319	183	406
2023-04-03	320	184	410
2023-04-04	323	186	413
2023-04-05	326	187	415
2023-04-06	328	189	417
2023-04-07	330	191	421
2023-04-08	333	192	426
2023-04-09	336	194	432
2023-04-10	339	195	435
2023-04-11	341	196	438
2023-04-12	344	197	441
2023-04-13	346	200	444
2023-04-14	349	202	446
2023-04-15	351	203	448
2023-04-16	353	205	451
2023-04-17	355	206	456
2023-04-18	358	208	458
2023-04-19	361	209	462
2023-04-20	364	211	465
2023-04-21	367	212	467
2023-04-22	369	213	469
2023-04-23	372	214	474
2023-04-24	374	216	478
2023-04-25	377	217	480
2023-04-26	379	218	484
2023-04-27	382	221	487
2023-04-28	385	222	489
2023-04-29	387	223	491
2023-04-30	388	224	494
2023-05-01	391	226	496
2023-05-02	393	227	501
2023-05-03	396	229	503
2023-05-04	399	232	506
2023-05-05	401	233	509
2023-05-06	403	235	512
2023-05-07	404	236	516
2023-05-08	406	237	520
2023-05-09	407	238	522
2023-05-10	409	239	524
2023-05-11	413	242	527
2023-05-12	415	243	529
2023-05-13	418	245	532
2023-05-14	420	249	535
2023-05-15	423	251	538
2023-05-16	425	253	540
2023-05-17	428	254	543
2023-05-18	430	257	547
2023-05-19	433	259	549
2023-05-20	435	260	551
2023-05-21	438	262	555
2023-05-22	440	263	561
2023-05-23	443	264	563
2023-05-24	444	265	566
2023-05-25	446	269	569
2023-05-26	450	270	572
2023-05-27	452	271	574
2023-05-28	453	272	577
2023-05-29	456	273	584
2023-05-30	459	275	587
2023-05-31	462	276	589
2023-06-01	465	278	593
2023-06-02	467	280	595
2023-06-03	470	281	597
2023-06-04	472	282	600
2023-06-05	474	284	607
2023-06-06	477	286	610
2023-06-07	479	287	613
2023-06-08	482	289	616
2023-06-09	484	290	620
2023-06-10	487	291	622
2023-06-11	488	291	624
2023-06-12	490	293	629
2023-06-13	492	294	631
2023-06-14	495	295	635
2023-06-15	498	297	639
2023-06-16	501	299	643
2023-06-17	504	301	646
2023-06-18	506	302	648
2023-06-19	509	304	653
2023-06-20	511	305	655
2023-06-21	514	306	657
2023-06-22	516	308	661
2023-06-23	519	309	664
2023-06-24	521	310	666
2023-06-25	524	311	668
2023-06-26	527	313	671
2023-06-27	529	314	673
2023-06-28	532	316	677
2023-06-29	534	320	682
2023-06-30	537	322	684
2023-07-01	540	322	687
2023-07-02	542	325	690
2023-07-03	545	325	693
2023-07-04	547	326	696
2023-07-05	550	328	698
2023-07-06	553	331	702
2023-07-07	555	332	704
2023-07-08	557	334	706
2023-07-09	559	335	708
2023-07-10	560	336	710
2023-07-11	563	337	713
2023-07-12	565	338	717
2023-07-13	567	341	721
2023-07-14	570	342	724
2023-07-15	573	344	726
2023-07-16	575	346	730
2023-07-17	577	347	734
2023-07-18	580	348	736
2023-07-19	582	350	738
2023-07-20	585	353	741
2023-07-21	587	353	743
2023-07-22	590	354	745
2023-07-23	593	355	748
2023-07-24	595	357	753
2023-07-25	598	358	755
2023-07-26	600	360	758
2023-07-27	603	362	760
2023-07-28	605	363	763
2023-07-29	607	364	765
2023-07-30	610	366	769
2023-07-31	612	366	770
2023-08-01	615	367	772
2023-08-03	619	369	778
2023-08-04	620	370	779
2023-08-05	621	370	780
2023-08-06	622	370	780
2023-08-07	623	371	781
2023-08-08	624	371	782
2023-08-09	625	372	783
2023-08-10	626	372	784
2023-08-11	627	372	785
2023-08-12	628	373	786
2023-08-13	631	373	788
2023-08-14	634	375	791
2023-08-15	638	376	795
2023-08-16	640	377	796
2023-08-17	642	380	799
2023-08-18	645	381	802
2023-08-19	647	382	804
2023-08-20	648	383	807
2023-08-21	651	385	812
2023-08-22	653	386	815
2023-08-22	654	386	816
2023-08-23	655	387	818
2023-08-24	658	390	820
2023-08-25	661	391	825
2023-08-26	664	393	830
2023-08-27	666	395	833
2023-08-28	669	396	838
2023-08-29	671	398	842
2023-08-30	674	399	845
2023-08-31	677	403	848
2023-09-01	679	404	852
2023-09-02	682	405	854
2023-09-03	684	407	859
2023-09-04	686	407	860
2023-09-05	688	409	863
2023-09-06	691	410	867
2023-09-07	694	412	870
2023-09-08	696	414	872
2023-09-09	699	416	875
2023-09-10	702	418	878
